vel_media,vel_minima,pct_baixa_vel,pct_full_throttle,pct_freando,zonas_freio,pico_desac,pico_acel,ano,piloto,temp_pista
247.9391304347826,61.0,8.115942028985506,68.69565217391305,11.884057971014492,6,-34.86750348675024,12.731481481481566,2019,GAS,32.9
248.14492753623188,66.0,7.82608695652174,70.14492753623188,13.623188405797102,6,-34.72222222222194,16.203703703703813,2019,PER,32.9
250.66275659824046,65.0,7.9178885630498534,67.44868035190615,13.196480938416421,7,-39.68253968253977,12.731481481481755,2019,LEC,32.9
247.48843930635837,65.0,7.803468208092486,64.16184971098265,13.872832369942195,6,-30.09259259259279,13.839462238038811,2019,STR,32.9
246.97413793103448,67.0,7.183908045977011,70.97701149425288,13.218390804597702,6,-33.56481481481503,12.731481481481376,2019,MAG,32.9
248.93859649122808,64.0,7.602339181286549,68.42105263157895,12.280701754385964,7,-34.72222222222245,15.046296296296171,2019,ALB,32.9
242.26628895184135,63.0,8.498583569405099,69.12181303116147,12.181303116147308,6,-35.87962962962933,16.203703703703813,2019,KVY,32.9
248.82608695652175,66.0,7.246376811594203,70.72463768115942,11.014492753623188,6,-31.24999999999997,15.87301587301581,2019,HUL,32.9
249.14285714285714,67.0,6.41399416909621,71.7201166180758,10.787172011661808,6,-33.56481481481478,16.20370370370369,2019,RIC,32.9
250.1078717201166,65.0,8.16326530612245,70.26239067055393,13.411078717201166,7,-33.56481481481478,15.046296296296171,2019,VER,32.9
246.94202898550725,64.0,8.695652173913043,71.30434782608695,13.91304347826087,9,-38.1944444444447,13.819789939192889,2019,NOR,32.9
254.5327380952381,68.0,6.25,71.72619047619048,11.011904761904761,7,-35.8796296296296,13.819789939192889,2019,HAM,32.9
251.68235294117648,67.0,7.0588235294117645,70.29411764705881,12.647058823529411,7,-35.8796296296296,11.622501162250078,2019,VET,32.9
242.29745042492917,61.0,8.78186968838527,67.98866855524079,13.881019830028329,6,-31.24999999999997,13.888888888888877,2019,SAI,32.9
244.77650429799428,65.0,7.736389684813753,69.05444126074498,14.326647564469914,7,-34.72222222222219,12.731481481481566,2019,RUS,32.9
243.8270893371758,66.0,8.357348703170029,60.23054755043228,24.78386167146974,12,-30.753968253968324,11.055831951354312,2019,RAI,32.9
250.90588235294118,69.0,7.647058823529412,71.47058823529412,12.941176470588237,6,-32.40740740740738,12.731481481481376,2019,BOT,32.9
245.81034482758622,67.0,8.045977011494253,69.82758620689656,12.643678160919542,6,-32.40740740740714,12.731481481481566,2019,GRO,32.9
245.50285714285715,65.0,7.428571428571429,73.71428571428571,12.571428571428573,7,-33.70525337052523,13.88888888888898,2019,KUB,32.9
246.05747126436782,67.0,7.758620689655173,69.82758620689656,12.068965517241379,6,-35.8796296296296,15.432098765432123,2019,GIO,32.9
