vel_media,vel_minima,pct_baixa_vel,pct_full_throttle,pct_freando,zonas_freio,pico_desac,pico_acel,circuito,ano,piloto
213.23772609819122,86.0,16.27906976744186,59.43152454780362,16.27906976744186,9,-38.3680555555553,15.046296296296395,Austin,2018,HAM
213.36855670103094,83.74,17.2680412371134,59.02061855670103,17.2680412371134,10,-37.192003719200805,15.046296296296171,Austin,2018,VET
213.37467700258398,78.86,17.31266149870801,59.17312661498708,18.863049095607234,11,-37.03703703703673,13.888888888888774,Austin,2018,RAI
211.59640102827763,85.0,17.223650385604113,58.61182519280206,15.424164524421593,9,-33.46819585574819,15.046296296296326,Austin,2018,BOT
210.46997389033942,87.0,15.66579634464752,62.40208877284596,14.360313315926893,9,-33.56481481481453,15.046296296296171,Austin,2018,RIC
209.1620253164557,85.94,16.70886075949367,55.44303797468354,18.734177215189874,13,-33.167495854062935,13.819789939192889,Austin,2018,OCO
208.71212121212122,82.95,16.414141414141415,61.61616161616161,17.424242424242426,10,-32.40740740740714,13.9470013946999,Austin,2018,HUL
209.3560606060606,80.0,17.67676767676768,60.60606060606061,17.17171717171717,11,-35.87962962962933,14.01295908879603,Austin,2018,GRO
208.53108808290156,82.55,18.393782383419687,58.2901554404145,16.321243523316063,10,-31.249999999999776,14.074074074074284,Austin,2018,LEC
207.85128205128206,81.89,17.17948717948718,56.92307692307692,16.666666666666664,9,-30.37037037037043,13.888888888888914,Austin,2018,PER
208.3298969072165,84.0,17.010309278350515,58.76288659793815,18.556701030927837,10,-34.72222222222194,13.888888888889186,Austin,2018,SAI
208.39331619537276,83.88,17.994858611825194,58.61182519280206,18.76606683804627,11,-37.03703703703673,13.888888888888877,Austin,2018,MAG
207.82097186700767,82.9,17.647058823529413,59.590792838874684,15.601023017902813,11,-32.40740740740738,12.731481481481755,Austin,2018,GAS
206.90816326530611,80.0,18.112244897959183,54.08163265306123,15.561224489795919,9,-37.037037037037,12.98912185106271,Austin,2018,HAR
207.8137755102041,84.0,16.83673469387755,61.73469387755102,15.561224489795919,9,-32.4074074074081,14.00462962962954,Austin,2018,VER
206.50507614213197,80.0,18.02030456852792,58.37563451776649,19.289340101522843,9,-35.87962962962933,15.04629629629577,Austin,2018,ALO
206.75063613231552,78.92,18.575063613231553,56.99745547073791,19.59287531806616,9,-35.87962962962933,13.978174603174843,Austin,2018,SIR
206.9796954314721,75.0,17.766497461928935,56.598984771573605,19.543147208121827,11,-36.02975360297578,12.731481481481376,Austin,2018,STR
206.15776081424937,83.92,19.338422391857506,54.19847328244275,15.267175572519085,10,-31.25000000000009,12.784751278475278,Austin,2018,ERI
205.853164556962,80.94,17.468354430379744,58.22784810126582,17.21518987341772,10,-33.167495854062935,13.888888888889186,Austin,2018,VAN
213.5,85.85,16.06217616580311,60.362694300518136,16.83937823834197,9,-35.303347280335245,13.947001394699887,Austin,2019,BOT
213.59948320413437,81.86,17.31266149870801,61.49870801033591,17.829457364341085,11,-30.092592592592567,17.36111111111097,Austin,2019,VET
214.01288659793815,85.87,15.463917525773196,62.11340206185567,17.2680412371134,9,-32.543003254300345,17.585619091895158,Austin,2019,VER
213.66149870801033,81.86,16.020671834625322,60.98191214470285,16.27906976744186,11,-38.695411829740095,13.8399031811894,Austin,2019,LEC
213.4559585492228,82.85,15.544041450777202,59.84455958549223,16.580310880829018,9,-43.98148148148242,15.056369130637192,Austin,2019,HAM
212.35658914728683,82.86,16.020671834625322,57.105943152454785,16.795865633074936,9,-33.564814814814895,16.20370370370405,Austin,2019,ALB
211.01295336787564,83.55,16.83937823834197,61.398963730569946,17.098445595854923,9,-35.8796296296296,13.888888888888877,Austin,2019,SAI
210.73027989821884,82.0,16.793893129770993,59.796437659033074,15.776081424936386,13,-34.93055555555562,15.046296296296212,Austin,2019,NOR
212.6755319148936,87.0,15.957446808510639,60.90425531914894,15.691489361702127,10,-33.44955834495551,13.903998140399969,Austin,2019,RIC
210.75710594315245,83.72,16.5374677002584,58.39793281653747,15.245478036175712,8,-34.72222222222232,14.756944444444432,Austin,2019,GAS
209.98969072164948,85.0,17.2680412371134,60.824742268041234,16.237113402061855,9,-32.73809523809521,13.88888888888843,Austin,2019,HUL
210.3496143958869,80.88,17.223650385604113,57.84061696658098,19.02313624678663,10,-34.01620370370363,13.888888888889186,Austin,2019,MAG
209.5706940874036,80.88,17.480719794344473,60.15424164524421,17.223650385604113,10,-34.72222222222219,15.046296296296395,Austin,2019,KVY
209.23393316195373,83.88,17.223650385604113,55.52699228791774,19.53727506426735,13,-30.543981481481552,13.888888888888877,Austin,2019,STR
210.21227621483376,80.9,16.36828644501279,63.42710997442455,19.18158567774936,14,-31.25000000000009,15.046296296296171,Austin,2019,GRO
