ano,round,pais,local,evento,formato,data,circuito,incluir
2018,18,United States,Austin,United States Grand Prix,conventional,2018-10-21,Austin,True
2019,19,United States,Austin,United States Grand Prix,conventional,2019-11-03,Austin,True
2021,17,United States,Austin,United States Grand Prix,conventional,2021-10-24,Austin,True
2022,19,United States,Austin,United States Grand Prix,conventional,2022-10-23,Austin,True
2023,18,United States,Austin,United States Grand Prix,sprint_shootout,2023-10-22,Austin,True
2024,19,United States,Austin,United States Grand Prix,sprint_qualifying,2024-10-20,Austin,True
2025,19,United States,Austin,United States Grand Prix,sprint_qualifying,2025-10-19,Austin,True
2018,4,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2018-04-29,Baku,True
2019,4,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2019-04-28,Baku,True
2021,6,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2021-06-06,Baku,True
2022,8,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2022-06-12,Baku,True
2023,4,Azerbaijan,Baku,Azerbaijan Grand Prix,sprint_shootout,2023-04-30,Baku,True
2024,17,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2024-09-15,Baku,True
2025,17,Azerbaijan,Baku,Azerbaijan Grand Prix,conventional,2025-09-21,Baku,True
2018,5,Spain,Barcelona,Spanish Grand Prix,conventional,2018-05-13,Barcelona,True
2019,5,Spain,Barcelona,Spanish Grand Prix,conventional,2019-05-12,Barcelona,True
2020,6,Spain,Barcelona,Spanish Grand Prix,conventional,2020-08-16,Barcelona,True
2021,4,Spain,Barcelona,Spanish Grand Prix,conventional,2021-05-09,Barcelona,True
2022,6,Spain,Barcelona,Spanish Grand Prix,conventional,2022-05-22,Barcelona,True
2023,7,Spain,Barcelona,Spanish Grand Prix,conventional,2023-06-04,Barcelona,True
2024,10,Spain,Barcelona,Spanish Grand Prix,conventional,2024-06-23,Barcelona,True
2025,9,Spain,Barcelona,Spanish Grand Prix,conventional,2025-06-01,Barcelona,True
2018,12,Hungary,Budapest,Hungarian Grand Prix,conventional,2018-07-29,Budapest,True
2019,12,Hungary,Budapest,Hungarian Grand Prix,conventional,2019-08-04,Budapest,True
2020,3,Hungary,Budapest,Hungarian Grand Prix,conventional,2020-07-19,Budapest,True
2021,11,Hungary,Budapest,Hungarian Grand Prix,conventional,2021-08-01,Budapest,True
2022,13,Hungary,Budapest,Hungarian Grand Prix,conventional,2022-07-31,Budapest,True
2023,11,Hungary,Budapest,Hungarian Grand Prix,conventional,2023-07-23,Budapest,True
2024,13,Hungary,Budapest,Hungarian Grand Prix,conventional,2024-07-21,Budapest,True
2025,14,Hungary,Budapest,Hungarian Grand Prix,conventional,2025-08-03,Budapest,True
2020,13,Italy,Imola,Emilia Romagna Grand Prix,conventional,2020-11-01,Imola,True
2021,2,Italy,Imola,Emilia Romagna Grand Prix,conventional,2021-04-18,Imola,True
2022,4,Italy,Imola,Emilia Romagna Grand Prix,sprint,2022-04-24,Imola,True
2024,7,Italy,Imola,Emilia Romagna Grand Prix,conventional,2024-05-19,Imola,True
2025,7,Italy,Imola,Emilia Romagna Grand Prix,conventional,2025-05-18,Imola,True
2021,21,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2021-12-05,Jeddah,True
2022,2,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2022-03-27,Jeddah,True
2023,2,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2023-03-19,Jeddah,True
2024,2,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2024-03-09,Jeddah,True
2025,5,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,conventional,2025-04-20,Jeddah,True
2023,21,United States,Las Vegas,Las Vegas Grand Prix,conventional,2023-11-18,Las Vegas,True
2024,22,United States,Las Vegas,Las Vegas Grand Prix,conventional,2024-11-23,Las Vegas,True
2025,22,United States,Las Vegas,Las Vegas Grand Prix,conventional,2025-11-22,Las Vegas,True
2018,8,France,Le Castellet,French Grand Prix,conventional,2018-06-24,Le Castellet,True
2019,8,France,Le Castellet,French Grand Prix,conventional,2019-06-23,Le Castellet,True
2021,7,France,Le Castellet,French Grand Prix,conventional,2021-06-20,Le Castellet,True
2022,12,France,Le Castellet,French Grand Prix,conventional,2022-07-24,Le Castellet,True
2021,20,Qatar,Lusail,Qatar Grand Prix,conventional,2021-11-21,Lusail,True
